name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
CAMEL,,https://www.camel-ai.org/,logos/b372cba5a39bb215979b3eec4bfbe2447c6095863240bbed5d49cd5938265584.png,,,,,,,Apache License 2.0,,🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org,,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/camel-ai/camel,16082,🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org,2026-02-21,https://github.com/camel-ai/camel/commit/a96257213752d2efaffeba2331c68a679bfcc86c,2026-02-12,https://github.com/camel-ai/camel/releases/tag/v0.2.89,2023-03-17,https://github.com/camel-ai/camel/commit/a569aae22945a08bd1dcd6d5c13ad2cdfc8fb0bf,193,https://github.com/camel-ai/camel/graphs/contributors,,,,,,,,,,,,
Cedar,,https://www.cedarpolicy.com/en,,,,,,,,Apache License 2.0,,Implementation of the Cedar Policy Language,,,,,,,,,,,,Agentic,IAM,true,https://github.com/cedar-policy/cedar,1320,Implementation of the Cedar Policy Language,2026-02-18,https://github.com/cedar-policy/cedar/commit/f5cfc93d86eee6a8989cc9390f062d349e2165a7,2026-02-09,https://github.com/cedar-policy/cedar/releases/tag/v4.9.0,2023-05-09,https://github.com/cedar-policy/cedar/commit/c1267afab93ed03788d9702da0addbfb8761067f,57,https://github.com/cedar-policy/cedar/graphs/contributors,,,,,,,,,,,,
Chroma,,https://www.trychroma.com/,logos/c9f39800739458fe7b315fcc86d3fc10e925ee7c4c5ff5a415b18f532e80eef6.png,,,,,,,Apache License 2.0,,Open-source search and retrieval database for AI applications.,,,,,,,,,,,,Infrastructure,Vector DBs,true,https://github.com/chroma-core/chroma,26257,Open-source search and retrieval database for AI applications.,2026-02-23,https://github.com/chroma-core/chroma/commit/f40e0fbac7016388ac4ad7e7b061e9cb8a047246,2026-02-19,https://github.com/chroma-core/chroma/releases/tag/1.5.1,2022-10-05,https://github.com/chroma-core/chroma/commit/957b068dbe812dd5c6d52a2bc8b58ece7deb07a3,178,https://github.com/chroma-core/chroma/graphs/contributors,,,,,,,,,,,,
Comet Optik,,https://www.comet.com/docs/opik/,logos/0f03edffb3557b0edb058d50628e92d6c1b03e82c621517bef9d59cdeff93920.svg,,,,,,,Apache License 2.0,,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.",,,,,,,,,,,,Agentic,Observability,true,https://github.com/comet-ml/opik,17811,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.",2026-02-23,https://github.com/comet-ml/opik/commit/a9e7fe8a962cde1d5bb1ab6baaaab295beb8d75e,2026-02-23,https://github.com/comet-ml/opik/releases/tag/1.10.19,2024-09-02,https://github.com/comet-ml/opik/commit/cabde4a1f43b730e6485913539c072295a6b5656,107,https://github.com/comet-ml/opik/graphs/contributors,,,,,,,,,,,,
Composio,,https://composio.dev/,logos/166d47cdb53fb8517c22eaa32981914bc0f21568b25f0bed4940ce5d714ab203.png,,,,,,,MIT License,,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",,,,,,,,,,,,Agentic,Tool Integration,true,https://github.com/ComposioHQ/composio,27136,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",2026-02-23,https://github.com/ComposioHQ/composio/commit/d1fdcbd4f564894c79d7d2867866f2c0c73c0653,2026-02-10,https://github.com/ComposioHQ/composio/releases/tag/v0.11.1,2025-04-11,https://github.com/ComposioHQ/composio/commit/eb8c1f2481762debbb4a4a5aae8515d2f34987b4,39,https://github.com/ComposioHQ/composio/graphs/contributors,,,,,,,,,,,,
Continue,,https://www.continue.dev/,logos/6b754c771cc1e85e6cedc377772ea7307cb0c3708e2b3c77dba0fda556cbb5fc.png,,,,,,,Apache License 2.0,,"⏩ Source-controlled AI checks, enforceable in CI. Powered by the open-source Continue CLI",,,,,,,,,,,,Agentic,Coding Agents,true,https://github.com/continuedev/continue,31490,"⏩ Source-controlled AI checks, enforceable in CI. Powered by the open-source Continue CLI",2026-02-23,https://github.com/continuedev/continue/commit/5695cc879c9514e2f2afa19f5e398c4af3ed5fbc,2026-02-17,https://github.com/continuedev/continue/releases/tag/v1.2.16-vscode,2023-05-24,https://github.com/continuedev/continue/commit/f53768612b1e2268697b5444e502032ef9f3fb3c,490,https://github.com/continuedev/continue/graphs/contributors,,,,,,,,,,,,
Crawl4AI,,https://docs.crawl4ai.com/,logos/e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.png,,,,,,,Apache License 2.0,,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",,,,,,,,,,,,Agentic,Search & Web Access,true,https://github.com/unclecode/crawl4ai,60833,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",2026-02-20,https://github.com/unclecode/crawl4ai/commit/aa7b05072d5b6deb9d1b85f9bb8b8561b936ac5e,2026-01-16,https://github.com/unclecode/crawl4ai/releases/tag/v0.8.0,2024-05-09,https://github.com/unclecode/crawl4ai/commit/b8e743cd8dd9653870e297652d638fa0e5dce3e7,57,https://github.com/unclecode/crawl4ai/graphs/contributors,,,,,,,,,,,,
Crew AI,,https://www.crewai.com/,logos/2f7b68b92e909ffd070ac69fc39e1f69a51ece7733efca5494529223769cb1c9.svg,,,,,,,MIT License,,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/crewAIInc/crewAI,44497,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",2026-02-20,https://github.com/crewAIInc/crewAI/commit/51754899a2b3e35d94f225bef82cb2957cb1d2b3,2026-01-30,https://github.com/crewAIInc/crewAI/releases/tag/1.9.3,2023-10-27,https://github.com/crewAIInc/crewAI/commit/6d08ac32296cda7d2c0a33c89d84ad9ef8d39e51,279,https://github.com/crewAIInc/crewAI/graphs/contributors,,,,,,,,,,,,
Daytona,,https://www.daytona.io/,logos/f69861f36984d5fcd2b175e302aa866a21f3aacd879b5edd9f79a426f31f7014.png,,,,,,,GNU Affero General Public License v3.0,,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,,,,,,,,,,,,Agentic,Code Sandbox,true,https://github.com/daytonaio/daytona,59937,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,2026-02-23,https://github.com/daytonaio/daytona/commit/18f96b9ad19653f526f8d1dc38b1897db8ec5ccf,2026-02-23,https://github.com/daytonaio/daytona/releases/tag/v0.144.1,2024-02-06,https://github.com/daytonaio/daytona/commit/7735f2a03de222bd90219ca343b6462af623aa18,213,https://github.com/daytonaio/daytona/graphs/contributors,,,,,,,,,,,,
DeepEval,,https://deepeval.com/,logos/659882c6f7dcbf109873e1b3229725ddb0519cdff36cacb38c1bb5d378c1cf7a.svg,,,,,,,Apache License 2.0,,The LLM Evaluation Framework,,,,,,,,,,,,Agentic,Evaluations,true,https://github.com/confident-ai/deepeval,13771,The LLM Evaluation Framework,2026-02-23,https://github.com/confident-ai/deepeval/commit/a1b5df6f2e36991aa390de9f45850aaf9ec3a4d1,2025-12-01,https://github.com/confident-ai/deepeval/releases/tag/v3.8.6,2023-08-10,https://github.com/confident-ai/deepeval/commit/d30c2ccb9bf953c5022a055fc452f78a5482050a,262,https://github.com/confident-ai/deepeval/graphs/contributors,,,,,,,,,,,,
Dify,,https://dify.ai/,logos/59861546a0fd9c2ea8c7e5941224b2f648ed18bd38e08978bdc88e0cd84915ec.png,,,,,,,Other,,Production-ready platform for agentic workflow development.,,,,,,,,,,,,Agentic,Workflow Orchestration,true,https://github.com/langgenius/dify,130071,Production-ready platform for agentic workflow development.,2026-02-23,https://github.com/langgenius/dify/commit/80f49367eb82d3368ee99df22f9762365ed0ddbc,2026-02-11,https://github.com/langgenius/dify/releases/tag/1.13.0,2023-05-15,https://github.com/langgenius/dify/commit/db896255d625e2418787f1b53f0dac091c57df1e,1151,https://github.com/langgenius/dify/graphs/contributors,,,,,,,,,,,,
Docling,,https://www.docling.ai/,logos/e93e34d0d3b3fab0a79dd17bec56aec7a1e04e0349018aab100f91ca2a963bb5.png,,,,,,,MIT License,,Get your documents ready for gen AI,,,,,,,,,,,,Agentic,RAG,true,https://github.com/docling-project/docling,53933,Get your documents ready for gen AI,2026-02-19,https://github.com/docling-project/docling/commit/684f59f263094622ee976886d0ce229d1952dd41,2026-02-17,https://github.com/docling-project/docling/releases/tag/v2.74.0,2024-07-15,https://github.com/docling-project/docling/commit/e2d996753bac9c7706f3fd4c877e1d83845df805,173,https://github.com/docling-project/docling/graphs/contributors,,,,,,,,,,,,
e2b,,https://e2b.dev,logos/18bd1da6aca0b08ecddb3afa704752862f23ff42bb82b4e9be73d0ebcea9af8f.svg,,,,,,,Apache License 2.0,,Infrastructure that's powering E2B Cloud.,,,,,,,,,,,,Agentic,Code Sandbox,true,https://github.com/e2b-dev/infra,912,Infrastructure that's powering E2B Cloud.,2026-02-23,https://github.com/e2b-dev/infra/commit/eefd80b63447ec9653f99c8c1189a0fa47c4d36e,2026-02-21,https://github.com/e2b-dev/infra/releases/tag/2026.08,2019-11-07,https://github.com/e2b-dev/infra/commit/8e79107ac9a5fbbe4e891b75caf64a10722d6686,34,https://github.com/e2b-dev/infra/graphs/contributors,,,,,,,,,,,,
Envoy,,https://aigateway.envoyproxy.io/,logos/df8b8caf4cf8763be5932dc58d7272c03e50fc4dcfdf7eaee4a28a34d6ac5b7d.svg,,,,,,,Apache License 2.0,,Manages Unified Access to Generative AI Services built on Envoy Gateway,,,,,,,,,,,,Agentic,LLM Gateway,true,https://github.com/envoyproxy/ai-gateway,1394,Manages Unified Access to Generative AI Services built on Envoy Gateway,2026-02-23,https://github.com/envoyproxy/ai-gateway/commit/c01c282da48c29c124368ddd28dc3aaea42da295,2026-01-23,https://github.com/envoyproxy/ai-gateway/releases/tag/v0.5.0,2024-10-21,https://github.com/envoyproxy/ai-gateway/commit/20cc55355d60ffbf52a41fcd970cc987cb9880db,80,https://github.com/envoyproxy/ai-gateway/graphs/contributors,,,,,,,,,,,,
FAISS,,https://github.com/facebookresearch/faiss,logos/4fa93b598fa3169f08463796874035c509a68420c199fe6d137b661d5aa8c7c8.png,,,,,,,MIT License,,A library for efficient similarity search and clustering of dense vectors.,,,,,,,,,,,,Infrastructure,Vector DBs,true,https://github.com/facebookresearch/faiss,39166,A library for efficient similarity search and clustering of dense vectors.,2026-02-22,https://github.com/facebookresearch/faiss/commit/9cedeb9025f45737632642205dcfe3b230358204,2025-12-19,https://github.com/facebookresearch/faiss/releases/tag/v1.13.2,2017-02-22,https://github.com/facebookresearch/faiss/commit/c670118a4ebbd796dce70ea0a99d32673767f26f,275,https://github.com/facebookresearch/faiss/graphs/contributors,,,,,,,,,,,,
FalkorDB,,https://www.falkordb.com/,logos/909dbb52621fbd3043143b3c0e3f6735544c765775778f9cb35074fc6538f3da.png,,,,,,,Other,,A super fast Graph Database uses GraphBLAS under the hood for its sparse adjacency matrix graph representation. Our goal is to provide the best Knowledge Graph for LLM (GraphRAG).,,,,,,,,,,,,Infrastructure,Knowledge Graphs,true,https://github.com/FalkorDB/FalkorDB,3524,A super fast Graph Database uses GraphBLAS under the hood for its sparse adjacency matrix graph representation. Our goal is to provide the best Knowledge Graph for LLM (GraphRAG).,2026-02-23,https://github.com/FalkorDB/FalkorDB/commit/2442792f52872e8e5f1bb8aaea895cfb31c149c6,2026-02-06,https://github.com/FalkorDB/FalkorDB/releases/tag/v4.16.3,2018-02-21,https://github.com/FalkorDB/FalkorDB/commit/7a09540a058a1e6aa44b9b80939fd6414741489e,72,https://github.com/FalkorDB/FalkorDB/graphs/contributors,,,,,,,,,,,,
Firecrawl,,https://www.firecrawl.dev/,logos/52c56772c263a6e5313c56ee85a0afc23721c06e74dfa3603ec7b2087657dccd.png,,,,,,,GNU Affero General Public License v3.0,,🔥 The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data,,,,,,,,,,,,Agentic,Search & Web Access,true,https://github.com/firecrawl/firecrawl,84983,🔥 The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data,2026-02-23,https://github.com/firecrawl/firecrawl/commit/d5f7da3cbcc738c229d97920cb3e19a244b76cd0,2026-02-03,https://github.com/firecrawl/firecrawl/releases/tag/v2.8.0,2024-04-15,https://github.com/firecrawl/firecrawl/commit/a6c2a878119321a196f720cce4195e086f1c6b46,137,https://github.com/firecrawl/firecrawl/graphs/contributors,,,,,,,,,,,,
Guardrails AI,,https://guardrailsai.com/,logos/41a057884947a7eca1fd573b6d61950b8c368e2a400949e905d5f0aa22694e5c.png,,,,,,,Apache License 2.0,,Adding guardrails to large language models.,,,,,,,,,,,,Agentic,Guardrails,true,https://github.com/guardrails-ai/guardrails,6443,Adding guardrails to large language models.,2026-02-17,https://github.com/guardrails-ai/guardrails/commit/a520ed8d7d4b2ad8d1ca4a25f804a676483fee8f,2026-02-17,https://github.com/guardrails-ai/guardrails/releases/tag/v0.9.0,2023-01-29,https://github.com/guardrails-ai/guardrails/commit/3320a4700062dfed7986d2f4390403ed56870099,74,https://github.com/guardrails-ai/guardrails/graphs/contributors,,,,,,,,,,,,
Guidance,,https://github.com/guidance-ai/guidance,logos/35ddfb7487cc491557d3b5f8ee594a73ab109fcbd81c2c8f00e5ed08e97a821d.png,,,,,,,MIT License,,A guidance language for controlling large language models.,,,,,,,,,,,,Agentic,Structured Output,true,https://github.com/guidance-ai/guidance,21320,A guidance language for controlling large language models.,2026-02-06,https://github.com/guidance-ai/guidance/commit/3de632c6a56762a8bffce972400b432e6ef31f12,2026-02-03,https://github.com/guidance-ai/guidance/releases/tag/0.3.1,2022-11-10,https://github.com/guidance-ai/guidance/commit/fbf951e0369cce6cbbe0978b3bfa6c648fd13db5,82,https://github.com/guidance-ai/guidance/graphs/contributors,,,,,,,,,,,,
HAL: The Holistic Agent Leaderboard,,https://github.com/princeton-pli/hal-harness,logos/c3a0b97f771d5882882322de77ca5682b7dcc01e6c28a09b2d73cb0702b96354.png,,,,,,,,,,,,,,,,,,,,,Agentic,Evaluations,,https://github.com/princeton-pli/hal-harness,226,,2026-02-05,https://github.com/princeton-pli/hal-harness/commit/8ba7948f4dc0175ef4b4d21d47c6ac7420e113e8,,,2024-07-29,https://github.com/princeton-pli/hal-harness/commit/6f10e596ed0bf044ebbde5d6df4772a1e8d83450,19,https://github.com/princeton-pli/hal-harness/graphs/contributors,,,,,,,,,,,,
Hatchet,,https://hatchet.run/,logos/356d935e6bf453e37a1e68635c39ae1053b347ba5d9fa3adca1a01717c363f8d.png,,,,,,,MIT License,,🪓 Run Background Tasks at Scale,,,,,,,,,,,,Agentic,Workflow Orchestration,true,https://github.com/hatchet-dev/hatchet,6644,🪓 Run Background Tasks at Scale,2026-02-23,https://github.com/hatchet-dev/hatchet/commit/44069cef89bc155483347cddf7b2985e511d16f5,2026-02-23,https://github.com/hatchet-dev/hatchet/releases/tag/v0.79.3,2023-12-15,https://github.com/hatchet-dev/hatchet/commit/366c79441d9260e63c24727743c3a5271cf239f4,54,https://github.com/hatchet-dev/hatchet/graphs/contributors,,,,,,,,,,,,
Haystack,,https://haystack.deepset.ai/,logos/72f89d6277aa544d908cef0cb5cc6b5ddde56c53310e238513593cf3152e92cb.png,,,,,,,Apache License 2.0,,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.",,,,,,,,,,,,Agentic,RAG,true,https://github.com/deepset-ai/haystack,24281,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.",2026-02-23,https://github.com/deepset-ai/haystack/commit/392083148b46d1dcaa0bcf651b1ebfdd95ccfb6d,2026-02-12,https://github.com/deepset-ai/haystack/releases/tag/v2.24.1,2019-11-14,https://github.com/deepset-ai/haystack/commit/f5921548ba70ce735f95376e6a06c513327c6b44,326,https://github.com/deepset-ai/haystack/graphs/contributors,,,,,,,,,,,,
Helicone,,https://www.helicone.ai/,logos/2ce9ee089903a7482a057af82f6d1889e313015f3a83123a4e0d9105e3b298cb.svg,,,,,,,Apache License 2.0,,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",,,,,,,,,,,,Agentic,Observability,true,https://github.com/Helicone/helicone,5134,"🧊 Open source LLM observability platform. One line of code to monitor, evaluate, and experiment. YC W23 🍓",2026-02-22,https://github.com/Helicone/helicone/commit/d7d8b4b023d180db3704824e6dc3450232833755,2025-08-21,https://github.com/Helicone/helicone/releases/tag/v2025.08.21-1,2022-11-29,https://github.com/Helicone/helicone/commit/0eee9b44d37e5694de01bec221d4aa64c5ca1775,101,https://github.com/Helicone/helicone/graphs/contributors,,,,,,,,,,,,
higress,,https://higress.ai/,logos/b9571fe773a27a288d19608f9cacb30dc1fc0fc9c87c97170d66aa98d33c5b92.png,,,,,,,Apache License 2.0,,🤖 AI Gateway | AI Native API Gateway,,,,,,,,,,,,Agentic,LLM Gateway,true,https://github.com/alibaba/higress,7560,🤖 AI Gateway | AI Native API Gateway,2026-02-22,https://github.com/alibaba/higress/commit/b3fb6324a418387a73e93e47d72ecde0a5295714,2026-02-22,https://github.com/alibaba/higress/releases/tag/v2.1.11,2022-10-27,https://github.com/alibaba/higress/commit/b57a8e141c988d78c941a08f954ce47c5f77653f,163,https://github.com/alibaba/higress/graphs/contributors,,,,,,,,,,,,
Inngest,,https://www.inngest.com/,logos/500fbe52d379d6e84a0ea431a489e853edd2ae898ca95cb73bfd1dace717e60e.png,,,,,,,Other,,"The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.",,,,,,,,,,,,Agentic,Workflow Orchestration,true,https://github.com/inngest/inngest,4881,"The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.",2026-02-23,https://github.com/inngest/inngest/commit/58fabb710bf5f429c8941022a76e0f2491446f89,2026-02-18,https://github.com/inngest/inngest/releases/tag/v1.17.1,2021-05-13,https://github.com/inngest/inngest/commit/ce09b4631efe2df486c5bb183222eeec0a78e1ee,41,https://github.com/inngest/inngest/graphs/contributors,,,,,,,,,,,,
Instructor,,https://python.useinstructor.com/,logos/beecc3e787d74ab3b1dc0127b2e87bdf75bfbb6eb6165c60cf159e8069297ce0.svg,,,,,,,MIT License,,structured outputs for llms ,,,,,,,,,,,,Agentic,Structured Output,true,https://github.com/567-labs/instructor,12416,structured outputs for llms ,2026-02-10,https://github.com/567-labs/instructor/commit/7206b98f38621ba06b5151da3fa1fbacd436adc3,2026-01-29,https://github.com/567-labs/instructor/releases/tag/v1.14.5,2023-06-14,https://github.com/567-labs/instructor/commit/81bff7d72709b907d13c607f5f37a818f37bc447,242,https://github.com/567-labs/instructor/graphs/contributors,,,,,,,,,,,,
